0,1,2,3
"[270.0608215332031, 150.84532165527344]","[381.8287658691406, 50.25414276123047]","[432.6464538574219, 106.71821594238281]","[320.8785095214844, 207.30938720703125]"
"[220.30718994140625, 126.03492736816406]","[276.33819580078125, 75.80024719238281]","[375.899169921875, 186.8490447998047]","[319.8681640625, 237.08372497558594]"
"[348.09088134765625, 99.22261047363281]","[417.64154052734375, 67.24528503417969]","[480.32666015625, 203.58546447753906]","[410.7760009765625, 235.5627899169922]"
"[112.79016876220703, 308.57720947265625]","[184.7181396484375, 277.47320556640625]","[244.2677001953125, 415.1815185546875]","[172.3397216796875, 446.2855224609375]"
"[218.66595458984375, 380.36431884765625]","[327.23895263671875, 276.72650146484375]","[379.47784423828125, 331.4530029296875]","[270.90484619140625, 435.0908203125]"
"[337.2694396972656, 312.1761474609375]","[402.9896545410156, 273.83935546875]","[479.6632385253906, 405.27978515625]","[413.9430236816406, 443.6165771484375]"
"[328.9999694824219, 326.99993896484375]","[384.7240905761719, 187.6896209716797]","[455.0689392089844, 215.82757568359375]","[399.3448181152344, 355.13787841796875]"
"[217.8875732421875, 209.27719116210938]","[288.63671875, 182.91964721679688]","[340.81939697265625, 322.9888610839844]","[270.07025146484375, 349.3464050292969]"
"[89.14460754394531, 315.6475830078125]","[139.0680389404297, 175.32225036621094]","[212.1454315185547, 201.3209228515625]","[162.2220001220703, 341.646240234375]"
"[104.84930419921875, 92.06847381591797]","[174.08901977539062, 60.59587860107422]","[236.34930419921875, 197.5684814453125]","[167.10958862304688, 229.04107666015625]"
"[148.8839111328125, 163.49415588378906]","[241.55543518066406, 46.6474494934082]","[302.137939453125, 94.69563293457031]","[209.46641540527344, 211.54234313964844]"
"[217.9167022705078, 62.90760040283203]","[291.7009582519531, 48.4715576171875]","[320.63861083984375, 196.37506103515625]","[246.85433959960938, 210.81109619140625]"
"[306.835205078125, 187.37344360351562]","[351.12322998046875, 42.20709228515625]","[423.48931884765625, 64.28488159179688]","[379.2012939453125, 209.45123291015625]"
"[221.27212524414062, 218.09725952148438]","[261.5677795410156, 154.09823608398438]","[388.1601257324219, 233.80453491210938]","[347.8644714355469, 297.8035583496094]"
"[290.5168762207031, 311.5730285644531]","[331.1348571777344, 246.58425903320312]","[458.9550476074219, 326.4718933105469]","[418.3370666503906, 391.4606628417969]"
